15	10	E	-7498978.91381779	200
emissionprobs	13	3	H3k36me3	1	1.58965674291751E-4
emissionprobs	13	4	H3k4me1	0	0.9979691257717422
emissionprobs	13	4	H3k4me1	1	0.0020308742282577133
emissionprobs	13	5	H3k4me2	0	0.9980616761069525
emissionprobs	13	5	H3k4me2	1	0.001938323893047526
emissionprobs	13	6	H3k4me3	0	0.9984635138951665
emissionprobs	13	6	H3k4me3	1	0.0015364861048335076
emissionprobs	13	7	H3k79me2	0	0.991410374107803
emissionprobs	13	7	H3k79me2	1	0.008589625892197139
emissionprobs	13	8	H3k9ac	0	0.9902557897258009
emissionprobs	13	8	H3k9ac	1	0.009744210274199163
emissionprobs	13	9	H3k9me3	0	0.9880103449402152
emissionprobs	13	9	H3k9me3	1	0.011989655059784683
emissionprobs	14	0	H2AFZ	0	0.9971034700446232
emissionprobs	14	0	H2AFZ	1	0.0028965299553767886
emissionprobs	14	1	H3K27ac	0	0.999913224795427
emissionprobs	14	1	H3K27ac	1	8.67752045730596E-5
emissionprobs	14	2	H3k27me3	0	0.9961743020199673
emissionprobs	14	2	H3k27me3	1	0.003825697980032808
emissionprobs	14	3	H3k36me3	0	0.9997804371900045
emissionprobs	14	3	H3k36me3	1	2.1956280999554432E-4
emissionprobs	14	4	H3k4me1	0	0.9995080866328832
emissionprobs	14	4	H3k4me1	1	4.919133671168883E-4
emissionprobs	14	5	H3k4me2	0	0.9997604758316203
emissionprobs	14	5	H3k4me2	1	2.395241683796992E-4
emissionprobs	14	6	H3k4me3	0	0.9998616358889192
emissionprobs	14	6	H3k4me3	1	1.383641110807799E-4
emissionprobs	14	7	H3k79me2	0	0.9969481222849551
emissionprobs	14	7	H3k79me2	1	0.003051877715044791
emissionprobs	14	8	H3k9ac	0	0.9985950671083145
emissionprobs	14	8	H3k9ac	1	0.001404932891685427
emissionprobs	14	9	H3k9me3	0	0.9973830848085278
emissionprobs	14	9	H3k9me3	1	0.0026169151914722227
emissionprobs	15	0	H2AFZ	0	0.9405917681054647
emissionprobs	15	0	H2AFZ	1	0.0594082318945353
emissionprobs	15	1	H3K27ac	0	0.9951214683643518
emissionprobs	15	1	H3K27ac	1	0.004878531635648259
emissionprobs	15	2	H3k27me3	0	0.9642646389251452
emissionprobs	15	2	H3k27me3	1	0.03573536107485471
emissionprobs	15	3	H3k36me3	0	0.9919290936339517
emissionprobs	15	3	H3k36me3	1	0.008070906366048358
emissionprobs	15	4	H3k4me1	0	0.994831910694659
emissionprobs	15	4	H3k4me1	1	0.005168089305341059
emissionprobs	15	5	H3k4me2	0	0.9964475818614051
emissionprobs	15	5	H3k4me2	1	0.003552418138594854
emissionprobs	15	6	H3k4me3	0	0.9878027775165281
emissionprobs	15	6	H3k4me3	1	0.012197222483471859
emissionprobs	15	7	H3k79me2	0	0.9674287548894882
emissionprobs	15	7	H3k79me2	1	0.03257124511051178
emissionprobs	15	8	H3k9ac	0	0.9684503130381131
emissionprobs	15	8	H3k9ac	1	0.031549686961886876
emissionprobs	15	9	H3k9me3	0	0.7783829445889799
emissionprobs	15	9	H3k9me3	1	0.22161705541102017
